Date,Contraction,Unemployment,Yield Spread,GDP pct change
1953-04-01,0.0,2.6,0.5699999999999998,0.7729844635831151
1953-07-01,1.0,2.7,0.6299999999999999,-0.5626935431486291
1953-10-01,1.0,3.7,0.9300000000000002,-1.5139762322488037
1954-01-01,1.0,5.3,1.21,-0.47801262130597877
1954-04-01,1.0,5.8,1.4700000000000002,0.10899120862117861
1954-07-01,0.0,6.0,1.4300000000000002,1.129364185078785
1954-10-01,0.0,5.3,1.3000000000000003,1.9566830848120942
1955-01-01,0.0,4.7,1.13,2.8562486586369618
1955-04-01,0.0,4.4,0.9099999999999997,1.6271791816613757
1955-07-01,0.0,4.1,0.7000000000000002,1.3504778613971036
1955-10-01,0.0,4.2,0.38000000000000034,0.60032482076533
1956-01-01,0.0,4.0,0.33999999999999986,-0.3884057354511694
1956-04-01,0.0,4.2,0.20999999999999996,0.8263332863812867
1956-07-01,0.0,4.1,0.20000000000000018,-0.08983268235949193
1956-10-01,0.0,4.1,0.0,1.645929023071524
1957-01-01,0.0,3.9,0.009999999999999787,0.6403919844718331
1957-04-01,0.0,4.1,0.08999999999999986,-0.21910160987548277
1957-07-01,0.0,4.2,-0.029999999999999805,0.9798828601888632
1957-10-01,1.0,4.9,0.040000000000000036,-1.034588325590169
1958-01-01,1.0,6.3,0.8799999999999999,-2.595847408291707
1958-04-01,1.0,7.4,1.5699999999999998,0.6573709154745977
1958-07-01,0.0,7.3,1.1099999999999999,2.31385403395592
1958-10-01,0.0,6.4,0.6099999999999999,2.33930535490674
1959-01-01,0.0,5.8,0.4900000000000002,1.9212982989371685
1959-04-01,0.0,5.1,0.33999999999999986,2.2564203750493395
1959-07-01,0.0,5.3,-0.09999999999999964,0.07120079689759695
1959-10-01,0.0,5.6,-0.33999999999999986,0.28503878198977706
1960-01-01,0.0,5.1,-0.08000000000000007,2.2472976275681233
1960-04-01,1.0,5.2,0.3899999999999997,-0.5393867738052727
1960-07-01,1.0,5.5,0.7600000000000002,0.48927469116859523
1960-10-01,1.0,6.3,0.8999999999999999,-1.2834339585874321
1961-01-01,0.0,6.8,0.9199999999999999,0.6750290608720233
1961-04-01,0.0,7.0,0.8500000000000001,1.6974785990400365
1961-07-01,0.0,6.8,0.9700000000000002,1.919639389929273
1961-10-01,0.0,6.2,0.8700000000000001,1.9611093106436828
1962-01-01,0.0,5.6,0.8099999999999996,1.7835991928394357
1962-04-01,0.0,5.5,0.8500000000000001,0.9036717719212328
1962-07-01,0.0,5.6,0.81,1.2285077681094325
1962-10-01,0.0,5.5,0.8999999999999999,0.32886069363677883
1963-01-01,0.0,5.8,0.8600000000000003,1.0916054774874784
1963-04-01,0.0,5.7,0.8199999999999998,1.1221239162588104
1963-07-01,0.0,5.5,0.5000000000000004,2.198425873728982
1963-10-01,0.0,5.6,0.3900000000000001,0.6555958751926161
1964-01-01,0.0,5.5,0.34999999999999964,2.108278574543765
1964-04-01,0.0,5.2,0.3400000000000003,1.0887046310322113
1964-07-01,0.0,5.0,0.4200000000000004,1.562300939872019
1964-10-01,0.0,5.0,0.23999999999999977,0.308892924622195
1965-01-01,0.0,4.9,0.1900000000000004,2.4197653501280003
1965-04-01,0.0,4.7,0.1900000000000004,1.2632710789499013
1965-07-01,0.0,4.4,0.16999999999999993,2.2232680681704586
1965-10-01,0.0,4.1,0.009999999999999787,2.304043246677967
1966-01-01,0.0,3.9,-0.16000000000000014,2.434231921027874
1966-04-01,0.0,3.8,-0.14999999999999947,0.3416167180241514
1966-07-01,0.0,3.8,-0.3700000000000001,0.8469050807293987
1966-10-01,0.0,3.7,-0.4400000000000004,0.8203722869262409
1967-01-01,0.0,3.8,-0.019999999999999574,0.8855866294079862
1967-04-01,0.0,3.8,0.5700000000000003,0.06127095675074745
1967-07-01,0.0,3.8,0.1200000000000001,0.9461326423363614
1967-10-01,0.0,3.9,0.08000000000000007,0.7540203029308801
1968-01-01,0.0,3.7,0.14000000000000057,2.039493025449457
1968-04-01,0.0,3.6,-0.20000000000000018,1.6708092772112604
1968-07-01,0.0,3.5,-0.04999999999999982,0.7749721844480195
1968-10-01,0.0,3.4,-0.07000000000000028,0.3933027463431493
1969-01-01,0.0,3.4,-0.1800000000000006,1.5651075105799217
1969-04-01,0.0,3.4,-0.22000000000000064,0.3040073324316994
1969-07-01,0.0,3.6,-0.79,0.6605121522079482
1969-10-01,0.0,3.6,-0.6000000000000005,-0.4876851891362777
1970-01-01,1.0,4.2,-0.17999999999999972,-0.14848496187753746
